Country,Visa Requirement
Afghanistan,Visa required
Albania,Visa not required
Algeria,Visa required
Andorra,Visa not required
Angola,Visa required
Antigua and Barbuda,eVisa
Argentina,Visa not required
Armenia,eVisa / Visa on arrival
Australia,Visa required
Austria,Visa not required
Azerbaijan,eVisa
Bahamas,Visa not required
Bahrain,Visa on arrival
Bangladesh,Visa required
Barbados,Visa required
Belarus,Visa required
Belgium,Visa not required
Belize,Visa not required
Benin,eVisa / Visa on arrival
Bhutan,Visa required
Bolivia,Visa not required
Bosnia and Herzegovina,Visa not required
Botswana,Visa not required
Brazil,Visa not required
Brunei,Visa required
Bulgaria,Visa not required
Burkina Faso,Visa on arrival
Burundi,Visa required
Cambodia,eVisa / Visa on arrival
Cameroon,Visa required
Canada,Visa required
Cape Verde,Visa on arrival
Central African Republic,Visa required
Chad,Visa required
Chile,Visa not required
China,Visa required
Colombia,Visa not required
Comoros,Visa on arrival
Republic of the Congo,Visa required
Democratic Republic of the Congo,Visa required
Costa Rica,Visa not required
Côte d'Ivoire,eVisa
Croatia,Visa not required
Cuba,Visa required
Cyprus,Visa not required
Czech Republic,Visa not required
Denmark,Visa not required
Djibouti,eVisa
Dominica,Visa not required
Dominican Republic,Visa not required
Ecuador,Visa not required
Egypt,Visa on arrival
El Salvador,Visa not required
Equatorial Guinea,Visa required
Eritrea,Visa required
Estonia,Visa not required
Eswatini,Visa required
Ethiopia,eVisa
Fiji,Visa not required
Finland,Visa not required
France and territories,Visa not required
Gabon,eVisa
Gambia,Visa not required
Georgia,eVisa
Germany,Visa not required
Ghana,Visa required
Greece,Visa not required
Grenada,Visa required
Guatemala,Visa not required
Guinea,Visa required
Guinea-Bissau,eVisa / Visa on arrival
Guyana,Visa required
Haiti,Visa not required
Honduras,Visa not required
Hong Kong,Visa not required
Hungary,Visa not required
Iceland,Visa not required
India,eVisa
Indonesia,Visa not required
Iran,Visa on arrival
Iraq,Visa required
Ireland,Visa not required
Israel,Visa not required
Italy,Visa not required
Jamaica,Visa not required
Japan,Visa required
Jordan,Visa on arrival
Kazakhstan,Visa required
Kenya,eVisa / Visa on arrival
Kiribati,Visa required
North Korea,Visa required
South Korea,Visa not required
Kuwait,Visa required
Kyrgyzstan,eVisa
Laos,eVisa / Visa on arrival
Latvia,Visa not required
Lebanon,Visa required
Lesotho,eVisa
Liberia,Visa required
Libya,Visa required
Liechtenstein,Visa not required
Lithuania,Visa not required
Luxembourg,Visa not required
Madagascar,eVisa / Visa on arrival
Malawi,Visa on arrival
Malaysia,Visa not required
Maldives,Visa not required
Mali,Visa required
Malta,Visa not required
Marshall Islands,Visa required
Mauritania,Visa on arrival
Mauritius,Visa not required
Mexico,Visa not required
Micronesia,Visa not required
Moldova,Visa not required
Monaco,Visa not required
Mongolia,Visa required
Montenegro,Visa not required
Morocco,Visa required
Mozambique,Visa on arrival
Myanmar,Visa required
Namibia,Visa required
Nauru,Visa required
Nepal,Visa on arrival
Netherlands,Visa not required
New Zealand,Visa required
Nicaragua,Visa not required
Niger,Visa required
Nigeria,Visa required
North Macedonia,Visa not required
Norway,Visa not required
Oman,eVisa
Pakistan,eTA
Palau,Visa not required
Panama,Visa not required
Papua New Guinea,Visa required
Peru,Visa not required
Philippines,Visa not required
Poland,Visa not required
Portugal,Visa not required
Qatar,Visa not required
Romania,Visa not required
Russia,Visa not required
Rwanda,eVisa / Visa on arrival
Saint Kitts and Nevis,Visa not required
Saint Lucia,Visa on arrival
Saint Vincent and the Grenadines,Visa not required
Samoa,Visa not required
San Marino,Visa not required
São Tomé and Príncipe,eVisa
Saudi Arabia,Visa required
Senegal,Visa required
Serbia,Visa not required
Seychelles,Visa not required
Sierra Leone,Visa required
Singapore,Visa not required
Slovakia,Visa not required
Slovenia,Visa not required
Solomon Islands,Visa required
Somalia,Visa on arrival
South Africa,Visa not required
South Sudan,Visa required
Spain,Visa not required
Sri Lanka,eVisa / Visa on arrival
Sudan,Visa required
Suriname,eVisa
Sweden,Visa not required
Switzerland,Visa not required
Syria,Visa required
Tajikistan,eVisa
Tanzania,eVisa / Visa on arrival
Thailand,Visa required
Timor-Leste,Visa on arrival
Togo,Visa on arrival
Tonga,Visa required
Trinidad and Tobago,Visa required
Tunisia,Visa required
Turkey,Visa not required
Turkmenistan,Visa required
Tuvalu,Visa on arrival
Uganda,eVisa / Visa on arrival
Ukraine,Visa not required
United Arab Emirates,Visa not required
United Kingdom,Visa not required
United States,Visa required
Uruguay,Visa not required
Uzbekistan,eVisa
Vanuatu,Visa required
Vatican City,Visa not required
Venezuela,Visa not required
Vietnam,Visa required
Yemen,Visa required
Zambia,eVisa / Visa on arrival
Zimbabwe,eVisa / Visa on arrival
