Country,Visa Requirement
Afghanistan,Visa required
Albania,Visa required
Algeria,Visa required
Andorra,Visa required
Angola,eVisa
Antigua and Barbuda,Visa not required
Argentina,Visa not required
Armenia,Visa not required
Australia and territories,Visa required
Austria,Visa required
Azerbaijan,Visa not required
Bahamas,Visa not required
Bahrain,eVisa / Visa on arrival
Bangladesh,Visa on arrival
Barbados,Visa not required
Belarus,Visa not required
Belgium,Visa required
Belize,Visa required
Benin,eVisa / Visa on arrival
Bhutan,Visa required
Bolivia,Visa not required
Bosnia and Herzegovina,Visa not required
Botswana,Visa not required
Brazil,Visa not required
Brunei,Visa not required
Bulgaria,Visa required
Burkina Faso,Visa required
Burundi,Visa required
Cambodia,eVisa / Visa on arrival
Cameroon,Visa required
Canada,Visa required
Cape Verde,Visa on arrival
Central African Republic,Visa required
Chad,Visa required
Chile,Visa not required
China,Visa required
Colombia,Visa not required
Comoros,Visa on arrival
Republic of the Congo,Visa required
Democratic Republic of the Congo,Visa required
Costa Rica,Visa not required
Côte d'Ivoire,eVisa
Croatia,Visa required
Cuba,Visa not required
Cyprus,Visa required
Czech Republic,Visa required
Denmark,Visa required
Djibouti,eVisa
Dominica,Visa not required
Dominican Republic,Visa not required
Ecuador,Visa not required
Egypt,eVisa / Visa on arrival
El Salvador,Visa not required
Equatorial Guinea,Visa required
Eritrea,Visa required
Estonia,Visa required
Eswatini,Visa not required
Ethiopia,eVisa / Visa on arrival
Fiji,Visa not required
Finland,Visa required
France,Visa required
Gabon,eVisa / Visa on arrival
Gambia,Visa required
Georgia,Visa not required
Germany,Visa required
Ghana,Visa required
Greece,Visa required
Grenada,Visa not required
Guatemala,Visa not required
Guinea,eVisa
Guinea-Bissau,eVisa / Visa on arrival
Guyana,Visa not required
Haiti,Visa not required
Honduras,Visa not required
Hungary,Visa required
Iceland,Visa required
India,eVisa
Indonesia,Visa not required
Iran,Visa on arrival
Iraq,Visa required
Ireland,Visa required
Israel,Visa not required
Italy,Visa required
Jamaica,Visa not required
Japan,Visa required
Jordan,Visa on arrival
Kazakhstan,Visa not required
Kenya,eVisa / Visa on arrival
Kiribati,Visa required
North Korea,Visa required
South Korea,Visa not required
Kuwait,Visa required
Kyrgyzstan,Visa not required
Laos,Visa not required
Latvia,Visa required
Lebanon,Visa on arrival
Lesotho,eVisa
Liberia,Visa required
Libya,Visa required
Liechtenstein,Visa required
Lithuania,Visa required
Luxembourg,Visa required
Madagascar,eVisa / Visa on arrival
Malawi,eVisa
Malaysia,Visa not required
Maldives,Visa not required
Mali,Visa required
Malta,Visa required
Marshall Islands,Visa on arrival
Mauritania,Visa on arrival
Mauritius,Visa not required
Mexico,eVisa
Micronesia,Visa not required
Moldova,Visa not required
Monaco,Visa required
Mongolia,Visa not required
Montenegro,Visa not required
Morocco,Visa not required
Mozambique,Visa on arrival
Myanmar,eVisa
Namibia,Visa not required
Nauru,Visa not required
Nepal,Visa on arrival
Netherlands,Visa required
New Zealand,Visa required
Nicaragua,Visa not required
Niger,Visa required
Nigeria,Visa required
North Macedonia,Visa not required
Norway,Visa required
Oman,eVisa
Pakistan,eVisa
Palau,Visa not required
Panama,Visa not required
Papua New Guinea,eVisa
Paraguay,Visa not required
Peru,Visa not required
Philippines,Visa not required
Poland,Visa required
Portugal,Visa required
Qatar,Visa not required
Romania,Visa required
Rwanda,eVisa / Visa on arrival
Saint Kitts and Nevis,Visa not required
Saint Lucia,Visa not required
Saint Vincent and the Grenadines,Visa not required
Samoa,Visa not required
San Marino,Visa required
São Tomé and Príncipe,Visa not required
Saudi Arabia,eVisa / Visa on arrival
Senegal,Visa on arrival
Serbia,Visa not required
Seychelles,Visa not required
Sierra Leone,Visa on arrival
Singapore,eVisa
Slovakia,Visa required
Slovenia,Visa required
Solomon Islands,Visa required
Somalia,Visa on arrival
South Africa,Visa not required
South Sudan,Visa required
Spain,Visa required
Sri Lanka,eVisa / Visa on arrival
Sudan,Visa required
Suriname,Visa not required
Sweden,Visa required
Switzerland,Visa required
Syria,Visa required
Tajikistan,Visa not required
Tanzania,eVisa / Visa on arrival
Thailand,Visa not required
Timor-Leste,Visa on arrival
Togo,Visa on arrival
Tonga,Visa on arrival
Trinidad and Tobago,Visa not required
Tunisia,Visa not required
Turkey,Visa not required
Turkmenistan,Visa required
Tuvalu,Visa on arrival
Uganda,eVisa / Visa on arrival
Ukraine,Visa not required
United Arab Emirates,Visa not required
United Kingdom and Crown dependencies,Visa required
United States,Visa required
Uruguay,Visa not required
Uzbekistan,Visa not required
Vanuatu,Visa not required
Vatican City,Visa required
Venezuela,Visa not required
Vietnam,Visa not required
Yemen,Visa required
Zambia,eVisa / Visa on arrival
Zimbabwe,eVisa / Visa on arrival
