Country,Visa Requirement
Afghanistan,Visa required
Albania,Visa not required
Algeria,Visa required
Andorra,Visa not required
Angola,Visa required
Antigua and Barbuda,Visa not required
Argentina,Visa not required
Armenia,Visa not required
Australia,Visa required
Austria,Visa not required
Azerbaijan,Visa not required
Bahamas,Visa required
Bahrain,Visa on arrival
Bangladesh,Visa on arrival
Barbados,Visa not required
Belarus,Visa not required
Belgium,Visa not required
Belize,Visa required
Benin,eVisa / Visa on arrival
Bhutan,Visa required
Bolivia,Visa on arrival
Bosnia and Herzegovina,Visa not required
Botswana,Visa required
Brazil,Visa not required
Brunei,Visa not required
Bulgaria,Visa not required
Burkina Faso,Visa required
Burundi,Visa required
Cambodia,eVisa / Visa on arrival
Cameroon,Visa required
Canada,Visa required
Cape Verde,Visa on arrival
Central African Republic,Visa required
Chad,Visa required
Chile,Visa not required
China,Visa required
Colombia,Visa required
Comoros,Visa on arrival
Republic of the Congo,Visa required
Democratic Republic of the Congo,Visa required
Costa Rica,Visa not required
Côte d'Ivoire,eVisa
Croatia,Visa not required
Cuba,Visa required
Cyprus,Visa not required
Czech Republic,Visa not required
Denmark,Visa not required
Djibouti,eVisa
Dominica,Visa not required
Dominican Republic,Visa not required
Ecuador,Visa not required
Egypt,eVisa / Visa on arrival
El Salvador,Visa not required
Equatorial Guinea,Visa required
Eritrea,Visa required
Estonia,Visa not required
Eswatini,Visa not required
Ethiopia,eVisa
Fiji,Visa not required
Finland,Visa not required
France,Visa not required
Gabon,eVisa
Gambia,Visa required
Georgia,Visa not required
Germany,Visa not required
Ghana,Visa required
Greece,Visa not required
Grenada,Visa on arrival
Guatemala,Visa not required
Guinea,eVisa
Guinea-Bissau,eVisa / Visa on arrival
Guyana,Visa required
Haiti,Visa not required
Honduras,Visa not required
Hungary,Visa not required
Iceland,Visa not required
India,eVisa
Indonesia,Visa not required
Iran,Visa on arrival
Iraq,Visa required
Ireland,Visa required
Israel,Visa not required
Italy,Visa not required
Jamaica,Visa not required
Japan,Visa required
Jordan,Visa on arrival
Kazakhstan,Visa not required
Kenya,eVisa / Visa on arrival
Kiribati,Visa required
North Korea,Visa required
South Korea,Visa required
Kuwait,eVisa / Visa on arrival
Kyrgyzstan,Visa not required
Laos,eVisa / Visa on arrival
Latvia,Visa not required
Lebanon,Visa on arrival
Lesotho,eVisa
Liberia,Visa required
Libya,Visa required
Liechtenstein,Visa not required
Lithuania,Visa not required
Luxembourg,Visa not required
Madagascar,eVisa / Visa on arrival
Malawi,eVisa
Malaysia,Visa not required
Maldives,Visa on arrival
Mali,Visa required
Malta,Visa not required
Marshall Islands,Visa on arrival
Mauritania,Visa on arrival
Mauritius,Visa on arrival
Mexico,eVisa
Micronesia,Visa not required
Moldova,Visa not required
Monaco,Visa not required
Mongolia,Visa not required
Montenegro,Visa not required
Morocco,Visa required
Mozambique,Visa on arrival
Myanmar,eVisa
Namibia,Visa not required
Nauru,Visa required
Nepal,Visa on arrival
Netherlands,Visa not required
New Zealand,Visa required
Nicaragua,Visa not required
Niger,Visa required
Nigeria,Visa required
North Macedonia,Visa not required
Norway,Visa not required
Oman,eVisa
Pakistan,eVisa
Palau,Visa on arrival
Panama,Visa not required
Papua New Guinea,Visa required
Paraguay,Visa not required
Peru,Visa not required
Philippines,Visa required
Poland,Visa not required
Portugal,Visa not required
Qatar,Visa not required
Romania,Visa not required
Russia,Visa not required
Rwanda,eVisa / Visa on arrival
Saint Kitts and Nevis,Visa not required
Saint Lucia,Visa required
Saint Vincent and the Grenadines,Visa not required
Samoa,Visa on arrival
San Marino,Visa not required
São Tomé and Príncipe,eVisa
Saudi Arabia,eVisa / Visa on arrival
Senegal,Visa on arrival
Serbia,Visa not required
Seychelles,Visa on arrival
Sierra Leone,Visa required
Singapore,eVisa
Slovakia,Visa not required
Slovenia,Visa not required
Solomon Islands,Visa required
Somalia,Visa on arrival
South Africa,Visa required
South Sudan,Visa required
Spain,Visa not required
Sri Lanka,eVisa / Visa on arrival
Sudan,Visa required
Suriname,eVisa
Sweden,Visa not required
Switzerland,Visa not required
Syria,Visa required
Tajikistan,Visa not required
Tanzania,eVisa / Visa on arrival
Thailand,Visa not required
Timor-Leste,Visa on arrival
Togo,Visa on arrival
Tonga,Visa on arrival
Trinidad and Tobago,Visa required
Tunisia,Visa required
Turkey,Visa not required
Turkmenistan,Visa required
Tuvalu,Visa on arrival
Uganda,eVisa / Visa on arrival
United Arab Emirates,Visa not required
United Kingdom,Visa required
United States,Visa required
Uruguay,Visa not required
Uzbekistan,Visa not required
Vanuatu,Visa not required
Vatican City,Visa not required
Venezuela,Visa required
Vietnam,Visa required
Yemen,Visa required
Zambia,eVisa / Visa on arrival
Zimbabwe,eVisa / Visa on arrival
